Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5503349300983568000,101.7094001,-48.9443353,9.685,0.572,3.982,2.7981,24.3447,29.87,26.28,1.28,5.718,F4.7,0.023006,0.02,2.112,nan,Gaia DR3
Gaia DR3 5500734868491020672,96.0220804,-53.2671609,15.690,2.488,3.422,8.3707,24.3564,30.21,nan,nan,6.231,M3.0,nan,0.35,1.017,nan,None
Gaia DR3 5573373799239617792,96.3147349,-40.4538705,13.239,1.533,3.989,8.9507,24.3631,29.61,32.70,1.66,6.412,K5.3,nan,0.05,1.015,nan,Gaia DR3
Gaia DR3 5550008111996883840,92.1141148,-50.7396498,17.154,3.061,1.069,9.0874,24.3726,30.35,nan,nan,6.481,M4.3,nan,nan,1.055,nan,None
Gaia DR3 5562670362782210688,105.8338417,-42.2063070,11.959,1.156,2.450,4.8783,24.3840,29.11,-3.66,0.67,5.813,K2.4,0.000610,0.02,8.049,nan,Gaia DR3
Gaia DR3 5553138318521931136,92.6669845,-49.6439767,16.978,3.094,1.673,8.4382,24.4156,30.32,nan,nan,7.129,M4.3,nan,nan,1.004,nan,None
Gaia DR3 5553080555504933120,91.7233438,-50.3772814,12.275,1.206,3.033,9.2132,24.4420,30.36,28.71,1.04,6.562,K3.0,0.000445,-0.00,1.053,nan,Gaia DR3
Gaia DR3 5491223199557621248,108.4955304,-54.0759598,16.818,2.796,1.544,7.4407,24.4444,29.45,nan,nan,6.056,M3.7,nan,nan,0.978,nan,None
Gaia DR3 5568662391914578304,94.7726561,-42.3800457,16.851,3.031,4.388,8.4664,24.4917,29.87,nan,nan,6.242,M4.2,nan,nan,1.037,nan,None
Gaia DR3 5576191843245311744,103.2976225,-38.8454843,18.807,3.615,3.332,8.2463,24.5585,28.95,nan,nan,6.186,M5.5,nan,nan,0.935,nan,None
Gaia DR3 5499885495759524352,95.8009222,-54.1468468,17.866,3.537,4.061,9.0974,24.5984,30.20,nan,nan,6.439,M5.4,nan,nan,0.992,nan,None
Gaia DR3 5568159330984829056,93.2317448,-44.5845408,15.763,2.659,3.088,8.3826,24.6078,30.09,nan,nan,7.167,M3.4,nan,nan,0.956,nan,None
Gaia DR3 5550712486633682048,97.1885326,-50.7391424,14.839,2.220,3.987,6.2024,24.6121,30.16,3.62,3.50,7.539,M1.8,nan,0.10,1.082,nan,Gaia DR3
Gaia DR3 5576722602420213504,99.8755206,-38.7195013,16.064,2.839,2.176,9.0350,24.6582,29.20,nan,nan,6.957,M3.8,nan,nan,3.465,nan,None
Gaia DR3 5551590343589621376,100.6678262,-48.1249611,14.809,2.081,2.755,2.9656,24.6853,29.91,21.86,9.28,5.712,M1.0,nan,0.17,1.089,nan,Gaia DR3
Gaia DR3 5584708969553938432,112.8253700,-39.9308592,19.677,0.542,3.634,9.1899,24.7432,28.11,nan,nan,6.459,F3.9,nan,nan,1.040,nan,None
Gaia DR3 5490020677434162944,107.4925796,-56.1506801,17.567,3.361,3.563,9.2831,24.7439,29.50,nan,nan,6.829,M5.0,0.002052,nan,0.924,nan,None
Gaia DR3 5556294775887954048,101.5205348,-43.8026192,8.746,0.505,0.972,3.9378,24.7799,29.60,31.52,0.39,7.749,F2.5,0.009738,-0.00,0.964,nan,Gaia DR3
Gaia DR3 5570319592159582208,96.7165461,-41.3575077,17.491,3.258,2.151,8.0716,24.8642,29.68,nan,nan,6.129,M4.8,0.011051,nan,1.057,nan,None
Gaia DR3 5567437737823807744,94.7170667,-44.8143571,19.986,2.459,0.714,7.3147,24.8973,30.05,nan,nan,6.012,M2.9,nan,nan,1.119,nan,None
Gaia DR3 5552285952197375104,99.4373584,-47.2586838,17.451,3.219,0.563,3.6205,24.9237,29.95,nan,nan,7.778,M4.7,nan,nan,1.147,nan,None
Gaia DR3 5506503597984732288,113.0713244,-48.5592621,11.832,1.153,2.358,5.7944,24.9258,28.89,31.66,0.46,7.607,K2.4,nan,0.08,0.931,nan,Gaia DR3
Gaia DR3 5569652394759142144,99.0765979,-41.6941188,18.098,3.562,4.916,6.6934,24.9527,29.57,nan,nan,7.504,M5.4,nan,nan,0.986,nan,None
Gaia DR3 5484245599985272704,104.8770082,-56.3045610,15.078,2.438,1.345,9.2815,24.9747,29.68,51.45,7.95,6.895,M2.8,nan,0.24,1.005,nan,Gaia DR3
