Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5562875490419788032,104.4974041,-41.7651852,16.024,2.643,3.165,5.2613,15.7120,29.18,nan,nan,6.309,M3.4,nan,nan,1.007,nan,None
Gaia DR3 5561054213832222720,108.3004259,-41.7886471,17.898,3.212,1.496,5.8153,15.8247,28.83,nan,nan,6.784,M4.6,nan,nan,0.994,nan,None
Gaia DR3 5550613564947437440,96.2739824,-48.6901291,9.624,0.634,3.591,5.9228,16.1331,30.16,28.89,1.92,6.791,F5.9,0.023956,0.02,5.163,nan,Gaia DR3
Gaia DR3 5561235358371617152,107.6649593,-41.2651281,7.713,0.173,4.400,6.1252,16.3264,28.84,nan,nan,6.536,A4.1,nan,-0.10,3.247,nan,None
Gaia DR3 5558253899451406720,107.4485378,-44.8103376,10.253,0.809,3.137,2.9018,16.4421,29.19,nan,nan,6.016,G1.2,nan,0.00,12.805,0.038,None
Gaia DR3 5555652175763749632,98.5102380,-46.0245976,15.575,2.717,4.853,4.4065,16.6606,29.94,nan,nan,7.166,M3.5,0.000321,0.37,4.440,nan,None
Gaia DR3 5510102467042492800,106.8378767,-45.9226546,18.807,3.302,1.755,1.8108,16.7230,29.33,nan,nan,5.959,M4.9,nan,nan,0.913,nan,None
Gaia DR3 5556014297343589248,101.6203796,-44.5706579,15.330,2.550,4.214,3.2822,16.8446,29.65,nan,nan,7.288,M3.2,nan,0.32,1.562,0.029,None
Gaia DR3 5501662100392398080,98.9866231,-52.0481236,19.097,3.096,2.596,6.2597,16.9258,30.08,nan,nan,6.781,M4.3,nan,nan,1.019,nan,None
Gaia DR3 5564549221995928704,105.8371567,-40.5979643,14.504,2.118,4.973,6.4729,17.1250,28.94,3.34,4.91,6.640,M1.2,nan,0.18,1.045,nan,Gaia DR3
Gaia DR3 5503727223746132608,106.0950115,-52.8178681,19.015,3.614,1.064,5.8586,17.2273,29.64,nan,nan,6.965,M5.5,nan,nan,1.126,nan,None
Gaia DR3 5497715235901280896,103.6930177,-53.4671913,15.662,2.950,1.626,6.4790,17.3314,29.80,41.50,6.69,6.742,M4.0,nan,0.30,1.130,nan,Gaia DR3
Gaia DR3 5507576205937790592,113.4734204,-46.4537265,17.680,2.960,4.429,6.0024,17.3360,28.70,nan,nan,6.940,M4.0,nan,nan,1.002,nan,None
Gaia DR3 5568918436389311104,97.3899876,-43.5565488,20.065,2.528,3.200,6.2271,17.3430,29.83,nan,nan,6.870,M3.1,nan,nan,1.087,nan,None
Gaia DR3 5502631770864380032,97.2291058,-51.3717218,16.320,2.718,3.988,6.5561,17.4631,30.17,nan,nan,6.538,M3.5,nan,nan,1.134,nan,None
Gaia DR3 5503457126140166912,105.6682770,-53.5777980,15.682,2.517,1.565,6.5805,17.4722,29.67,nan,nan,6.561,M3.1,nan,0.30,1.043,nan,None
Gaia DR3 5509009488062151808,108.6916788,-46.8496709,5.704,-0.126,4.052,2.6968,17.5273,29.22,nan,nan,7.369,B6.5,nan,-0.05,1.390,nan,None
Gaia DR3 5556700289519887872,96.4298172,-44.7600212,17.612,3.257,3.701,6.2136,17.5381,29.97,nan,nan,6.902,M4.8,nan,nan,1.063,nan,None
Gaia DR3 5558952978389910912,102.5304589,-44.7500539,11.311,0.937,4.226,2.7483,17.5863,29.60,5.52,0.97,5.963,G8.7,nan,0.08,4.397,nan,Gaia DR3
Gaia DR3 5569393150533313280,99.3114706,-42.1824364,12.962,1.412,1.100,6.1957,17.6868,29.61,31.31,1.68,6.344,K4.8,nan,0.06,1.052,0.018,Gaia DR3
Gaia DR3 5511770185664060928,110.3131668,-43.9555237,18.823,4.015,4.098,4.9600,17.7449,28.84,nan,nan,7.175,M6.1,nan,nan,1.371,nan,None
Gaia DR3 5551870542958584448,97.5119827,-48.9061736,11.764,1.205,3.208,5.1967,17.7496,30.11,-3.80,0.73,7.141,K2.9,0.000496,0.07,2.779,nan,Gaia DR3
Gaia DR3 5555858785167602432,99.9725282,-45.7404229,10.878,0.883,1.805,3.5358,17.7529,29.83,28.95,0.40,7.325,G7.2,0.003929,-0.01,0.867,nan,Gaia DR3
Gaia DR3 5508006973975029376,104.2077066,-50.1986656,18.130,3.345,3.855,3.1954,17.8987,29.74,nan,nan,7.360,M5.0,nan,nan,0.966,nan,None
Gaia DR3 5568990767934110208,96.1606065,-43.8760863,17.538,3.168,1.088,6.7928,17.9645,29.92,nan,nan,6.629,M4.5,0.005883,nan,0.949,0.018,None
Gaia DR3 5553667355413928832,95.1016398,-48.4565999,17.481,3.072,0.598,6.6399,17.9887,30.21,nan,nan,6.804,M4.3,nan,nan,0.962,nan,None
Gaia DR3 5563971188116686080,103.5856744,-40.2806341,13.812,1.819,1.388,6.7949,18.0002,29.10,32.65,1.73,6.677,K7.9,nan,-0.02,1.006,nan,Gaia DR3
Gaia DR3 5556542543961114624,98.0711087,-44.9882467,12.899,1.366,3.053,5.0635,18.0065,29.90,27.70,1.09,6.123,K4.4,0.000229,0.03,1.172,nan,Gaia DR3
Gaia DR3 5558088972706739712,105.7134246,-45.7984137,16.703,2.698,2.675,1.3935,18.0561,29.42,nan,nan,5.899,M3.5,0.008227,nan,1.043,nan,None
Gaia DR3 5555977498064012544,100.9158018,-45.0648906,18.157,3.357,2.139,3.3036,18.0946,29.73,nan,nan,5.971,M5.0,nan,nan,1.022,nan,None
Gaia DR3 5563971188116686464,103.5864829,-40.2828463,15.980,3.042,1.311,6.7926,18.1122,29.10,nan,nan,6.734,M4.2,nan,-0.02,1.108,nan,None
Gaia DR3 5511168413505352832,112.8580661,-44.4139371,17.174,2.702,2.538,6.2294,18.1240,28.60,nan,nan,6.308,M3.5,nan,nan,1.041,nan,None
Gaia DR3 5493483765403861760,112.8651281,-51.3867190,16.762,2.633,2.673,6.8598,18.1422,29.03,nan,nan,6.621,M3.4,nan,nan,1.021,nan,None
Gaia DR3 5494199203876098560,113.4111312,-49.8192414,17.020,3.124,4.657,6.3867,18.1423,28.91,nan,nan,6.929,M4.4,nan,nan,1.209,nan,None
Gaia DR3 5562990595544045056,105.6514718,-40.9282130,13.288,1.641,3.032,6.1295,18.2474,28.99,21.49,4.24,6.274,K5.7,0.000287,0.16,9.373,nan,Gaia DR3
Gaia DR3 5549555388084040192,96.5706428,-49.8942190,16.438,2.632,3.874,6.1323,18.3368,30.18,nan,nan,6.267,M3.4,nan,nan,0.991,nan,None
Gaia DR3 5563483756570246528,101.7299655,-41.3524327,19.282,3.337,0.866,6.0691,18.3749,29.36,nan,nan,6.251,M4.9,nan,nan,1.104,nan,None
Gaia DR3 5570013515609539712,98.2163672,-41.8554187,14.804,2.580,2.409,6.9570,18.4044,29.64,-45.42,6.61,6.609,M3.2,nan,0.36,1.065,nan,Gaia DR3
Gaia DR3 5570013519906502400,98.2190303,-41.8561191,18.034,3.220,2.600,6.9552,18.4204,29.64,nan,nan,6.678,M4.7,nan,0.36,1.028,nan,None
Gaia DR3 5492080582407617792,110.1616280,-52.0859208,5.358,-0.071,2.171,6.1570,18.4310,29.30,nan,nan,6.265,B8.9,nan,nan,1.044,nan,None
Gaia DR3 5501870737019402880,102.4995125,-51.7014839,16.732,2.798,1.260,4.9017,18.5480,29.88,nan,nan,7.242,M3.7,nan,nan,1.014,nan,None
Gaia DR3 5555455230040264064,98.5264799,-46.2837969,20.030,3.249,4.278,4.3341,18.5713,29.95,nan,nan,6.022,M4.7,nan,nan,1.087,nan,None
Gaia DR3 5502935270433290880,100.8749491,-50.2948230,16.811,2.909,4.612,4.1525,18.6862,29.96,nan,nan,6.003,M3.9,nan,nan,1.023,nan,None
Gaia DR3 5501473637227544320,98.6527011,-52.9109722,17.970,3.308,0.963,7.0686,18.7010,30.10,nan,nan,6.663,M4.9,nan,nan,1.175,nan,None
Gaia DR3 5512207898669493632,110.9916796,-43.3387009,10.847,0.878,1.825,5.7356,18.7124,28.71,8.62,0.56,7.134,G6.8,0.003612,0.07,1.859,nan,Gaia DR3
Gaia DR3 5511221804240074752,112.7272496,-44.2278899,18.654,3.019,1.303,6.2360,18.7688,28.60,nan,nan,6.253,M4.2,nan,nan,1.011,nan,None
Gaia DR3 5511525132010026240,110.1117962,-44.6701718,17.737,3.121,3.259,4.4130,18.7970,28.92,nan,nan,6.019,M4.4,nan,nan,1.034,nan,None
Gaia DR3 5492092260419896576,109.5421299,-52.0327691,7.993,0.132,2.066,5.8936,18.8672,29.35,19.96,0.76,6.184,A3.6,nan,0.04,0.869,nan,Gaia DR3
Gaia DR3 5557222488823966592,99.8624067,-43.3292178,14.293,2.332,1.907,5.0494,18.8903,29.67,53.27,6.24,7.249,M2.4,nan,0.27,1.115,nan,Gaia DR3
Gaia DR3 5493768882512710912,112.6952138,-50.5244126,17.319,3.307,4.422,6.2936,18.9047,29.02,nan,nan,7.042,M4.9,nan,nan,0.995,nan,None
Gaia DR3 5501127020482099712,96.7319500,-51.5720133,15.402,2.468,1.127,6.9232,18.9145,30.19,nan,nan,6.430,M2.9,nan,0.27,1.025,nan,None
Gaia DR3 5497625969300443776,102.6389314,-53.7188820,9.868,0.666,1.460,6.8287,19.0252,29.87,28.41,0.36,6.905,F6.8,0.019397,0.02,0.942,nan,Gaia DR3
Gaia DR3 5554669525902464000,94.2595093,-47.4952731,14.082,1.958,2.486,7.1298,19.0461,30.21,14.60,5.79,6.757,M0.5,0.000284,0.29,1.033,0.016,Gaia DR3
Gaia DR3 5550352430935336832,95.0737354,-49.8656421,17.536,3.076,3.894,7.0130,19.1204,30.24,nan,nan,6.435,M4.3,0.000484,nan,0.938,nan,None
Gaia DR3 5503827730278739328,106.4176824,-52.5674545,9.445,0.614,1.074,5.6472,19.1495,29.61,-4.75,0.22,7.185,F5.5,nan,0.00,2.329,nan,Gaia DR3
Gaia DR3 5506735629297940608,114.3165556,-47.1574251,16.246,2.797,2.422,6.5107,19.1946,28.66,nan,nan,7.021,M3.7,nan,nan,1.019,nan,None
Gaia DR3 5570011904999096832,98.1173171,-41.9625533,17.763,3.368,4.513,6.9230,19.2344,29.66,nan,nan,6.903,M5.0,nan,nan,1.016,nan,None
Gaia DR3 5503827695919003904,106.4007215,-52.5675342,16.451,2.868,2.497,5.6452,19.2378,29.61,nan,nan,7.193,M3.8,nan,nan,1.061,nan,None
Gaia DR3 5511859147324841088,111.4897555,-44.5044056,17.487,3.208,3.585,5.3315,19.2493,28.76,nan,nan,6.086,M4.6,nan,nan,1.054,nan,None
Gaia DR3 5563765785600697472,103.8836827,-40.5052550,13.497,1.738,3.317,6.5479,19.3182,29.10,32.34,1.34,7.026,K7.2,0.000073,0.04,1.041,nan,Gaia DR3
Gaia DR3 5561018071686010368,109.0718591,-41.8177307,9.590,0.663,4.986,6.0498,19.3377,28.76,29.01,0.95,7.133,F6.7,0.016927,0.04,1.055,0.063,Gaia DR3
Gaia DR3 5502614522274963584,98.1011974,-51.1709510,9.028,0.454,0.326,6.0084,19.3807,30.12,31.44,1.01,6.168,F1.3,0.013887,0.01,0.929,nan,Gaia DR3
Gaia DR3 5557674113225297792,104.2540047,-46.5669553,15.811,2.569,4.704,0.5688,19.4119,29.58,nan,nan,5.840,M3.2,nan,nan,1.038,nan,None
Gaia DR3 5510218675975376512,110.4081262,-47.1599938,14.349,2.082,1.959,3.8539,19.4398,29.08,80.77,2.37,7.408,M1.0,nan,0.21,1.057,nan,Gaia DR3
Gaia DR3 5556405409949380352,96.1464909,-45.8803878,18.689,3.200,1.529,6.0333,19.4463,30.05,nan,nan,6.167,M4.6,nan,nan,0.970,nan,None
Gaia DR3 5569514062453361664,100.6541070,-41.5842918,19.268,3.644,3.752,6.1764,19.5048,29.46,nan,nan,7.125,M5.5,nan,nan,1.078,nan,None
Gaia DR3 5569314299230776576,99.7445503,-42.5478956,14.625,2.058,3.873,5.7115,19.5187,29.61,41.04,9.88,6.117,M0.9,nan,0.21,1.053,nan,Gaia DR3
Gaia DR3 5552557737726292480,101.7976610,-46.7083279,17.412,2.958,3.410,2.0428,19.7621,29.77,nan,nan,7.531,M4.0,nan,nan,1.024,nan,None
Gaia DR3 5502765941346398336,98.6373746,-50.7848399,18.147,3.827,3.855,5.5004,19.7977,30.09,nan,nan,6.075,M5.8,nan,nan,1.052,nan,None
Gaia DR3 5564380446961164928,107.9751540,-40.3488911,13.205,1.569,1.824,7.0686,19.8316,28.70,7.30,1.04,6.355,K5.4,nan,0.04,1.060,nan,Gaia DR3
Gaia DR3 5505975415786833408,111.1637533,-49.7653286,8.979,0.515,1.816,5.0625,19.8371,29.14,27.79,0.81,6.027,F2.9,nan,0.01,1.639,nan,Gaia DR3
Gaia DR3 5505449883589986688,107.2304354,-49.7896904,19.878,2.715,2.396,3.2189,19.8442,29.49,nan,nan,5.898,M3.5,nan,nan,1.099,nan,None
Gaia DR3 5569348727688934272,99.0022814,-42.6096013,13.249,1.693,0.467,6.0054,19.8442,29.66,16.30,1.17,7.186,K5.9,nan,0.06,0.935,nan,Gaia DR3
Gaia DR3 5569518361716968192,100.4985017,-41.4851473,17.319,3.063,0.724,6.3178,19.8982,29.46,nan,nan,7.135,M4.3,nan,nan,0.964,nan,None
Gaia DR3 5576038736251448960,102.4837396,-39.8874927,17.734,3.111,4.965,7.3221,19.9149,29.14,nan,nan,6.438,M4.4,nan,nan,1.050,nan,None
Gaia DR3 5569839689694479872,96.4486807,-42.9546293,18.074,2.787,0.947,7.1368,20.0342,29.84,nan,nan,6.352,M3.7,0.006342,-0.04,1.014,nan,None
Gaia DR3 5490860841757256960,109.6341310,-53.9507712,17.872,-0.016,1.610,7.5881,20.0665,29.36,nan,nan,6.671,A0.5,nan,nan,0.972,nan,None
Gaia DR3 5503719767682436096,105.7884452,-52.9048850,18.784,3.202,4.333,5.9192,20.0872,29.66,nan,nan,7.220,M4.6,nan,nan,0.963,nan,None
Gaia DR3 5550588035661403008,96.0324071,-49.0533262,15.392,2.594,1.076,6.1678,20.1490,30.18,41.20,8.85,7.185,M3.3,nan,0.26,1.082,nan,Gaia DR3
Gaia DR3 5501214805317729152,98.8789809,-53.3145773,18.496,3.507,4.998,7.3238,20.2452,30.08,nan,nan,6.910,M5.3,nan,nan,0.938,nan,None
Gaia DR3 5567538205698370304,95.0512827,-43.9383369,18.756,3.656,4.002,7.4604,20.2685,29.98,nan,nan,6.853,M5.6,nan,nan,1.012,nan,None
Gaia DR3 5552384603301755264,100.0391654,-47.8888382,16.752,2.826,1.363,3.3000,20.3407,29.94,nan,nan,5.882,M3.7,nan,nan,0.991,nan,None
Gaia DR3 5506372202046105472,114.4418478,-48.6646557,12.470,1.223,1.335,6.7035,20.3495,28.74,6.88,0.89,6.218,K3.1,nan,-0.04,0.944,nan,Gaia DR3
Gaia DR3 5563778189466432512,104.8838686,-40.8228111,15.456,2.428,1.653,6.2013,20.3526,29.05,15.39,3.25,6.134,M2.8,nan,nan,0.998,nan,Gaia DR3
Gaia DR3 5500838536124246016,96.5949796,-52.5027784,12.719,1.336,2.332,7.5918,20.5249,30.19,34.26,10.33,6.457,K4.1,nan,0.11,1.116,0.021,Gaia DR3
Gaia DR3 5564767608195203968,108.3596514,-39.9330659,18.449,3.533,0.386,7.5565,20.7232,28.61,nan,nan,6.407,M5.4,nan,nan,1.039,nan,None
Gaia DR3 5552836124623762176,101.7284845,-45.9981070,15.544,2.788,0.834,2.3182,20.8449,29.73,31.59,6.36,7.585,M3.7,nan,0.08,1.045,nan,Gaia DR3
Gaia DR3 5550434104033109504,94.0710638,-49.9157843,17.480,3.136,3.275,7.6396,20.8757,30.28,nan,nan,6.886,M4.4,nan,nan,1.027,nan,None
Gaia DR3 5565392306895937920,105.8330932,-39.1534900,12.251,1.424,4.558,7.9093,20.9241,28.76,32.20,3.61,6.603,K4.8,0.000379,0.08,3.317,0.041,Gaia DR3
Gaia DR3 5552518640641540864,101.2601755,-47.2091557,16.460,2.914,0.254,2.3818,20.9640,29.83,nan,nan,7.590,M3.9,nan,nan,0.992,nan,None
Gaia DR3 5562230794352613888,101.9952390,-43.9744667,19.156,3.491,3.559,3.6083,21.0374,29.58,nan,nan,5.871,M5.3,nan,nan,1.837,nan,None
Gaia DR3 5491101501662087040,106.1910827,-54.9494876,15.446,2.558,3.820,7.9774,21.0841,29.62,nan,nan,6.670,M3.2,nan,0.26,1.023,nan,None
Gaia DR3 5504950778327444224,105.8374267,-51.0347364,12.713,1.767,4.383,4.0741,21.2603,29.64,26.42,0.88,7.509,K7.4,nan,0.04,14.195,nan,Gaia DR3
Gaia DR3 5567083591999138688,93.1067929,-46.1039851,16.523,2.947,2.913,8.0502,21.3601,30.19,nan,nan,6.738,M4.0,nan,nan,1.064,nan,None
Gaia DR3 5570679927032335616,97.7374671,-40.6637734,13.084,1.737,3.406,8.1184,21.4624,29.55,-6.41,22.21,6.685,K7.2,nan,0.09,2.138,nan,Gaia DR3
Gaia DR3 5492056938610162304,110.4799073,-52.0249073,11.869,1.211,3.745,6.2289,21.5057,29.27,29.70,2.03,6.068,K3.0,nan,0.07,1.924,0.035,Gaia DR3
Gaia DR3 5491586553792514432,109.2579309,-54.0444973,19.078,3.190,3.375,7.5795,21.5309,29.39,nan,nan,6.311,M4.6,0.006109,nan,0.950,nan,None
Gaia DR3 5584753224895024768,111.7496887,-40.6845367,17.983,3.442,3.150,8.0961,21.7203,28.33,nan,nan,6.822,M5.2,nan,nan,1.104,nan,None
Gaia DR3 5493535957842082048,113.2454119,-50.8067054,18.432,3.355,2.957,6.7377,21.7460,28.97,nan,nan,6.124,M5.0,nan,nan,0.975,nan,None
Gaia DR3 5509106275147167872,103.4980026,-48.9855102,17.785,3.452,4.750,2.1334,21.8617,29.75,nan,nan,5.784,M5.2,nan,nan,1.191,nan,None
Gaia DR3 5569040383396115328,96.6918219,-43.3960363,15.635,2.926,1.051,6.7317,21.8697,29.86,45.78,4.88,7.239,M3.9,nan,0.43,6.941,nan,Gaia DR3
Gaia DR3 5504173148728443520,109.2141408,-51.5988493,9.385,0.536,2.178,5.4204,21.8701,29.37,23.65,2.25,5.963,F3.7,nan,0.01,1.028,nan,Gaia DR3
Gaia DR3 5498209844334462720,99.5253145,-54.0357478,16.784,2.920,3.422,7.7540,21.8733,30.04,nan,nan,6.323,M3.9,nan,nan,0.998,nan,None
Gaia DR3 5501176635943983104,98.0994563,-53.8057298,12.987,1.541,3.195,7.9897,21.8798,30.11,12.97,0.86,6.913,K5.4,nan,0.05,1.084,nan,Gaia DR3
Gaia DR3 5555572877784492032,96.6068870,-46.4447661,16.466,2.806,3.920,5.6084,21.9003,30.06,nan,nan,5.979,M3.7,nan,0.71,0.929,nan,None
Gaia DR3 5498353330602152064,101.4714278,-53.9467098,16.873,2.470,3.318,7.2287,22.0592,29.94,nan,nan,6.185,M2.9,nan,1.46,0.971,nan,None
Gaia DR3 5585594527387927168,111.0691728,-40.0412189,15.104,2.366,0.587,8.3447,22.1904,28.33,nan,nan,6.543,M2.6,nan,0.33,1.092,nan,None
Gaia DR3 5557642467906591744,104.9801832,-46.5135792,16.448,2.707,3.298,0.5336,22.2543,29.52,nan,nan,5.744,M3.5,nan,nan,1.084,nan,None
Gaia DR3 5500737033155383552,96.2089165,-53.1913449,19.208,3.216,0.448,8.2379,22.3634,30.20,nan,nan,6.432,M4.6,nan,nan,1.016,nan,None
Gaia DR3 5552288327314611328,98.8057591,-47.4641143,17.554,2.949,2.964,4.0583,22.3861,29.99,nan,nan,5.843,M4.0,nan,nan,1.005,nan,None
Gaia DR3 5568246359905541120,93.9545837,-44.0367474,15.904,2.359,2.475,8.1223,22.4230,30.03,nan,nan,6.375,M2.6,nan,nan,0.959,nan,None
Gaia DR3 5576587465569587456,99.7803370,-40.0486039,17.326,3.207,1.820,7.8462,22.4360,29.36,nan,nan,7.048,M4.6,nan,nan,1.008,nan,None
Gaia DR3 5549431035895111424,95.8562856,-50.9299791,17.701,3.078,2.823,7.0166,22.4540,30.22,nan,nan,6.120,M4.3,nan,nan,1.009,nan,None
Gaia DR3 5584512917184072832,112.9940956,-40.9930999,16.807,2.790,3.760,8.4482,22.4541,28.22,nan,nan,6.547,M3.7,nan,nan,0.945,nan,None
Gaia DR3 5570347118607380736,96.6442107,-40.9098681,16.049,2.610,4.470,8.4416,22.4798,29.64,nan,nan,6.532,M3.3,nan,0.35,2.139,nan,None
Gaia DR3 5500781735175024000,96.6715536,-52.7404769,11.307,1.053,4.787,7.7225,22.4812,30.19,7.61,0.31,7.088,K1.7,nan,-0.00,0.853,nan,Gaia DR3
Gaia DR3 5562160631765148032,103.4334374,-43.5716630,16.885,2.883,4.918,3.5736,22.4866,29.43,nan,nan,7.623,M3.9,0.001129,nan,1.159,nan,None
Gaia DR3 5552197785108532864,97.0777847,-47.8590524,19.600,3.309,0.909,5.2536,22.4918,30.10,nan,nan,7.487,M4.9,nan,nan,1.076,nan,None
Gaia DR3 5553489887364727424,92.5920284,-48.4924375,15.631,2.506,1.582,8.2949,22.5039,30.30,44.17,7.10,6.434,M3.0,nan,0.35,1.072,nan,Gaia DR3
Gaia DR3 5570189093872802432,96.0665367,-41.8719937,12.180,1.099,2.731,8.0515,22.5664,29.76,37.64,0.58,6.333,K2.0,0.000660,0.05,1.032,nan,Gaia DR3
Gaia DR3 5497430221869610752,104.0341643,-54.2937936,18.224,3.311,3.533,7.2845,22.5682,29.77,nan,nan,6.157,M4.9,0.005581,nan,1.067,nan,None
Gaia DR3 5562531515079338240,104.5292355,-42.9882112,17.506,3.040,1.653,4.0382,22.6253,29.30,nan,nan,5.833,M4.2,nan,nan,0.941,nan,None
Gaia DR3 5569759876318219392,99.5377583,-41.2318820,16.350,2.778,4.964,6.8911,22.6475,29.50,nan,nan,6.089,M3.7,nan,nan,1.028,nan,None
Gaia DR3 5510508088052417024,108.8884211,-46.7972047,17.641,2.803,4.643,2.8359,22.6567,29.20,nan,nan,5.778,M3.7,nan,nan,0.980,nan,None
Gaia DR3 5518387188375720960,117.0794737,-47.7744083,20.195,2.930,0.618,8.3705,22.6609,28.38,nan,nan,6.442,M4.0,nan,nan,1.072,nan,None
Gaia DR3 5504436413040879872,110.2101684,-50.3444828,19.540,3.305,2.569,4.8992,22.7080,29.25,nan,nan,5.884,M4.9,nan,nan,1.071,nan,None
Gaia DR3 5505975420085714688,111.1722060,-49.7596907,15.862,2.493,3.127,5.0644,22.7149,29.14,nan,nan,5.895,M3.0,nan,0.01,1.133,nan,None
Gaia DR3 5568226396897228672,93.0380074,-44.3284053,17.067,2.930,1.347,8.6057,22.7681,30.08,nan,nan,6.721,M4.0,nan,nan,1.005,nan,None
Gaia DR3 5498567735369575552,102.8999359,-52.7413025,16.467,2.815,2.231,5.8403,22.7807,29.86,nan,nan,7.443,M3.7,nan,nan,1.036,nan,None
Gaia DR3 5575983077771827584,100.8472927,-39.1931455,6.256,0.326,3.611,8.3296,22.7881,29.19,10.34,1.40,6.402,A8.9,nan,0.02,6.422,nan,Gaia DR3
Gaia DR3 5565481706639265664,106.0207339,-39.2282208,19.604,2.858,4.758,7.8498,22.8026,28.76,nan,nan,6.253,M3.8,nan,nan,1.024,nan,None
Gaia DR3 5492809111940877696,115.6788968,-51.9292986,20.054,0.630,3.144,8.6169,22.8175,28.76,nan,nan,6.586,F5.8,nan,nan,1.052,nan,None
Gaia DR3 5565685185008197888,104.5485728,-38.7797522,12.170,1.201,1.594,8.2449,22.9436,28.83,30.42,0.89,6.988,K2.9,0.000686,0.07,0.938,nan,Gaia DR3
Gaia DR3 5492384249479178112,113.9840665,-52.5528398,18.942,3.439,2.350,8.1197,22.9487,28.95,nan,nan,7.032,M5.2,nan,nan,1.034,nan,None
Gaia DR3 5508896788120942848,108.0272086,-47.8784431,12.503,1.333,1.362,2.3752,23.0063,29.34,27.64,1.10,5.751,K4.1,nan,2.07,12.268,nan,Gaia DR3
Gaia DR3 5555572809065015168,96.6075557,-46.4462788,16.300,2.756,4.090,5.6077,23.0407,30.06,nan,nan,5.925,M3.6,nan,0.71,1.014,nan,None
Gaia DR3 5491666203962574080,108.4160797,-53.6678038,6.686,-0.075,2.007,7.0419,23.0752,29.46,nan,nan,6.084,B8.7,nan,-0.07,0.887,nan,None
Gaia DR3 5497163654724690176,100.1196454,-55.0088908,19.006,3.837,3.251,8.4955,23.0876,29.99,nan,nan,6.425,M5.8,nan,nan,1.016,nan,None
Gaia DR3 5564140989647213824,103.8162329,-39.4619386,18.005,2.926,4.340,7.5918,23.1024,28.98,nan,nan,6.173,M3.9,nan,nan,0.933,nan,None
Gaia DR3 5530653851195641472,116.4616621,-46.6141506,18.899,3.255,4.152,8.0174,23.1202,28.37,nan,nan,7.085,M4.7,nan,nan,1.022,nan,None
